Symbol,Url
ACC,https://mmb.moneycontrol.com/forum-topics/stocks/acc-865.html
APOLLO,https://mmb.moneycontrol.com/forum-topics/stocks/apollo-tyres-9282.html
AXISBANK,https://mmb.moneycontrol.com/forum-topics/stocks/axis-bank-3142.html
BANKBARODA,https://mmb.moneycontrol.com/forum-topics/stocks/bankbaroda-261.html
BBL,https://mmb.moneycontrol.com/forum-topics/stocks/rbl-bank-510311.html
CESC,https://mmb.moneycontrol.com/forum-topics/stocks/cesc-48181.html
EXCELCROP,https://mmb.moneycontrol.com/forum-topics/stocks/excel-crop-care-119095.html
HCLTECH,https://mmb.moneycontrol.com/forum-topics/stocks/hcl-tech-682.html
HDFC,https://mmb.moneycontrol.com/forum-topics/stocks/hdfc-bank-4962.html
HEXAWARE,https://mmb.moneycontrol.com/forum-topics/stocks/hexaware-tech-2745.html
HFCL,https://mmb.moneycontrol.com/forum-topics/stocks/hfcl-2961.html
HIL,https://mmb.moneycontrol.com/forum-topics/stocks/hil-37825.html
HILTON,https://mmb.moneycontrol.com/forum-topics/stocks/hilton-metal-246743.html
ICICIBANK,https://mmb.moneycontrol.com/forum-topics/stocks/icici-bank-6422.html
IDEA,https://mmb.moneycontrol.com/forum-topics/stocks/idea-cellular-246717.html
ITI,https://mmb.moneycontrol.com/forum-topics/stocks/iti-12542.html
JBMA,https://mmb.moneycontrol.com/forum-topics/stocks/jbm-auto-243555.html
JETAIRWAYS,https://mmb.moneycontrol.com/forum-topics/stocks/jet-airways-219558.html
JKTYRE,https://mmb.moneycontrol.com/forum-topics/stocks/jk-tyre--ind-8382.html
JSWSTEEL,https://mmb.moneycontrol.com/forum-topics/stocks/jsw-steel-3121.html
LTI,https://mmb.moneycontrol.com/forum-topics/stocks/lt-infotech-510289.html
MRF,https://mmb.moneycontrol.com/forum-topics/stocks/mrf-44661.html
ONGC,https://mmb.moneycontrol.com/forum-topics/stocks/ongc-2161.html
TATAMOTORS,https://mmb.moneycontrol.com/forum-topics/stocks/tata-motors-1605.html
TATAPOWER,https://mmb.moneycontrol.com/forum-topics/stocks/tata-power-1904.html
TCS,https://mmb.moneycontrol.com/forum-topics/stocks/tcs-148716.html
TDPOWERSYS,https://mmb.moneycontrol.com/forum-topics/stocks/td-power-system-509300.html
TRIDENT,https://mmb.moneycontrol.com/forum-topics/stocks/trident-9004.html
UCOBANK,https://mmb.moneycontrol.com/forum-topics/stocks/uco-bank-81030.html
UFO,https://mmb.moneycontrol.com/forum-topics/stocks/ufo-moviez-509892.html
WABAG,https://mmb.moneycontrol.com/forum-topics/stocks/va-tech-wabag-509185.html
WHEELS,https://mmb.moneycontrol.com/forum-topics/stocks/wheels-4142.html
YESBANK,https://mmb.moneycontrol.com/forum-topics/stocks/yes-bank-246084.html
ZUARI,https://mmb.moneycontrol.com/forum-topics/stocks/zuari-agro-chem-509521.html
